audit_id,manual_reviewer,manual_reviewed_at,manual_edge_support,manual_predicate_fit,manual_normalization_fit,manual_error_tags,manual_notes
tmkp-2026-04-21-edge-audit-batch-002-0401,codex-manual,2026-05-04,partially_supported,partial,partial,generic_subject,An endogenous antioxidant is described as improving anxiety.
tmkp-2026-04-21-edge-audit-batch-002-0402,codex-manual,2026-05-04,unsupported,bad,bad,abbreviation_collision,PID is an operation for obesity not phenindione.
tmkp-2026-04-21-edge-audit-batch-002-0403,codex-manual,2026-05-04,supported,good,good,model_or_assay_context,Milk thistle silibinin has anti metastatic effects on renal cell carcinoma.
tmkp-2026-04-21-edge-audit-batch-002-0404,codex-manual,2026-05-04,unsupported,bad,bad,normalization_error,Cop1 is a plant regulator and PCD is programmed cell death.
tmkp-2026-04-21-edge-audit-batch-002-0405,codex-manual,2026-05-04,supported,good,good,model_or_assay_context,PF-477736 inhibited ovarian cancer cell proliferation.
tmkp-2026-04-21-edge-audit-batch-002-0406,codex-manual,2026-05-04,unsupported,bad,bad,abbreviation_collision,DST is digit span test not dihydrostreptomycin.
tmkp-2026-04-21-edge-audit-batch-002-0407,codex-manual,2026-05-04,unsupported,bad,bad,normalization_error,CMS is chronic mild stress model not congenital myasthenic syndrome.
tmkp-2026-04-21-edge-audit-batch-002-0408,codex-manual,2026-05-04,supported,good,good,studied_context,Vitamin D supplementation is studied in kidney disease patients.
tmkp-2026-04-21-edge-audit-batch-002-0409,codex-manual,2026-05-04,partially_supported,partial,partial,related_disease_context,Troxerutin ameliorated liver inflammation injury.
tmkp-2026-04-21-edge-audit-batch-002-0410,codex-manual,2026-05-04,supported,good,good,combination_treatment_context,Safingol irinotecan combination has therapeutic potential in colon cancer.
tmkp-2026-04-21-edge-audit-batch-002-0411,codex-manual,2026-05-04,partially_supported,partial,good,supportive_care_context,Droperidol was used as anti nausea support during ovarian cancer chemotherapy.
tmkp-2026-04-21-edge-audit-batch-002-0412,codex-manual,2026-05-04,supported,good,good,,Torsemide is used in treatment of advanced heart failure.
tmkp-2026-04-21-edge-audit-batch-002-0413,codex-manual,2026-05-04,unsupported,bad,good,surgical_analgesia_context,Clonidine was used for analgesia during renal cell carcinoma surgery.
tmkp-2026-04-21-edge-audit-batch-002-0414,codex-manual,2026-05-04,partially_supported,partial,good,symptom_treatment_context,Lidocaine was administered to neuralgia patients.
tmkp-2026-04-21-edge-audit-batch-002-0415,codex-manual,2026-05-04,supported,good,good,,L-amphetamine improves memory impairment.
tmkp-2026-04-21-edge-audit-batch-002-0416,codex-manual,2026-05-04,unsupported,bad,bad,normalization_error,IMD is a metastatic breast cancer context not imidacloprid.
tmkp-2026-04-21-edge-audit-batch-002-0417,codex-manual,2026-05-04,partially_supported,partial,good,failed_treatment_context,Trimethoprim sulfamethoxazole was initial treatment with incomplete response.
tmkp-2026-04-21-edge-audit-batch-002-0418,codex-manual,2026-05-04,unsupported,bad,bad,normalization_error,FAD is not fetal akinesia in this DHT context.
tmkp-2026-04-21-edge-audit-batch-002-0419,codex-manual,2026-05-04,unsupported,bad,bad,abbreviation_collision,BPN means brain penetrating nanoparticles not brompheniramine.
tmkp-2026-04-21-edge-audit-batch-002-0420,codex-manual,2026-05-04,unsupported,bad,good,model_or_assay_context,Glucosamine was used to mimic insulin resistance in liver cancer cells.
tmkp-2026-04-21-edge-audit-batch-002-0421,codex-manual,2026-05-04,supported,good,good,,Streptokinase is used to treat cardiovascular diseases.
tmkp-2026-04-21-edge-audit-batch-002-0422,codex-manual,2026-05-04,unsupported,bad,bad,normalization_error,ASPS is alveolar soft part sarcoma not the normalized dysplasia.
tmkp-2026-04-21-edge-audit-batch-002-0423,codex-manual,2026-05-04,partially_supported,good,partial,generic_object,Pemigatinib was approved for advanced or metastatic disease with FGFR2 fusion.
tmkp-2026-04-21-edge-audit-batch-002-0424,codex-manual,2026-05-04,unsupported,bad,good,biomarker_or_expression_context,DHEA was measured under stress in IBS patients.
tmkp-2026-04-21-edge-audit-batch-002-0425,codex-manual,2026-05-04,partially_supported,partial,good,model_or_assay_context,Borax sensitization was studied in bladder cancer cells and mice.
tmkp-2026-04-21-edge-audit-batch-002-0426,codex-manual,2026-05-04,supported,good,good,model_or_assay_context,Stanozolol improved osteoarthritis management in animal studies.
