audit_id,manual_reviewer,manual_reviewed_at,manual_edge_support,manual_predicate_fit,manual_normalization_fit,manual_error_tags,manual_notes
tmkp-2026-04-21-edge-audit-batch-002-2401,codex-manual,2026-05-04,supported,good,good,,APOE3 binds ApoER2 and stimulates endothelial signaling
tmkp-2026-04-21-edge-audit-batch-002-2402,codex-manual,2026-05-04,partially_supported,partial,bad,ubiquitin_process_context,TOP1 is downregulated through ubiquitin proteasome pathway but UBC is over specific
tmkp-2026-04-21-edge-audit-batch-002-2403,codex-manual,2026-05-04,unsupported,bad,bad,reagent_context,Recombinant IL1 alpha antiserum context does not support PDLIM4
tmkp-2026-04-21-edge-audit-batch-002-2404,codex-manual,2026-05-04,unsupported,bad,bad,parallel_biomarkers_only,IL1ra and IL6 both increase but IL1R1 does not cause IL6
tmkp-2026-04-21-edge-audit-batch-002-2405,codex-manual,2026-05-04,partially_supported,partial,good,pathway_context,APC promotes polarization and migration upon Cdc42 Par6 aPKC signaling
tmkp-2026-04-21-edge-audit-batch-002-2406,codex-manual,2026-05-04,partially_supported,partial,bad,family_mention_fanout,PPAR alpha agonist prevents MuRF1 overexpression but subject is PPARD
tmkp-2026-04-21-edge-audit-batch-002-2407,codex-manual,2026-05-04,unsupported,bad,good,parallel_treatment_effects,Ang1 and VEGFR2 are both altered after treatment with no causal edge
tmkp-2026-04-21-edge-audit-batch-002-2408,codex-manual,2026-05-04,unsupported,bad,good,antagonist_context,DKK1 blocks ET1 induced bone formation but is not caused by EDN1
tmkp-2026-04-21-edge-audit-batch-002-2409,codex-manual,2026-05-04,unsupported,bad,bad,amino_acid_mention,Tyr and Met are amino acid residues in a peptide
tmkp-2026-04-21-edge-audit-batch-002-2410,codex-manual,2026-05-04,unsupported,bad,bad,wrong_object|stimulus_context,nsp11 inhibits TNF stimulated phosphorylation but does not support TNFSF4 to ZFYVE9
tmkp-2026-04-21-edge-audit-batch-002-2411,codex-manual,2026-05-04,unsupported,bad,bad,wrong_subject,BTK Xid mutation affects NLRP3 response and is not MYH6 support
tmkp-2026-04-21-edge-audit-batch-002-2412,codex-manual,2026-05-04,partially_supported,partial,good,downstream_requirement_context,CCL7 pain effects are suppressed by IL18 antagonist
tmkp-2026-04-21-edge-audit-batch-002-2413,codex-manual,2026-05-04,supported,good,good,,GRIP1 interacts with Smad3 and enhances transcription
tmkp-2026-04-21-edge-audit-batch-002-2414,codex-manual,2026-05-04,partially_supported,partial,good,cell_cycle_context,CRM1 overexpression prevents an E2F4 dependent cell cycle arrest process
tmkp-2026-04-21-edge-audit-batch-002-2415,codex-manual,2026-05-04,supported,good,good,,CD5 positive Bregs inhibit tumor immune response by activating STAT3
tmkp-2026-04-21-edge-audit-batch-002-2416,codex-manual,2026-05-04,partially_supported,partial,good,pathway_context,Anti EGFR blocks a pathway involving tuberin
tmkp-2026-04-21-edge-audit-batch-002-2417,codex-manual,2026-05-04,unsupported,bad,bad,reporter_context|object_normalization_error,Gal4 is a yeast transcriptional activation domain and not LGALS4
tmkp-2026-04-21-edge-audit-batch-002-2418,codex-manual,2026-05-04,unsupported,bad,bad,chemical_vs_gene_error,UCN01 is a Chk1 inhibitor compound and not UCN gene
tmkp-2026-04-21-edge-audit-batch-002-2419,codex-manual,2026-05-04,unsupported,bad,bad,same_entity_or_family_context,Fas is itself the TNF family apoptosis member and not caused by TNFSF18
