audit_id,manual_reviewer,manual_reviewed_at,manual_edge_support,manual_predicate_fit,manual_normalization_fit,manual_error_tags,manual_notes
tmkp-2026-04-21-edge-audit-batch-002-2801,codex-manual,2026-05-04,unsupported,bad,bad,object_abbreviation_false_positive|normalization_error,OCD means optimal clinical dose not obsessive-compulsive disorder
tmkp-2026-04-21-edge-audit-batch-002-2802,codex-manual,2026-05-04,supported,good,partial,object_normalization_partial,Fibrinogen variants cause hereditary renal amyloidosis
tmkp-2026-04-21-edge-audit-batch-002-2803,codex-manual,2026-05-04,unsupported,bad,bad,subject_abbreviation_false_positive|predicate_error,PCA is a case abbreviation in MEN context not pidolic acid treatment
tmkp-2026-04-21-edge-audit-batch-002-2804,codex-manual,2026-05-04,partially_supported,partial,partial,model_only|subject_normalization_partial,Apo2L TRAIL was tested against cultured thoracic cancer cells
tmkp-2026-04-21-edge-audit-batch-002-2805,codex-manual,2026-05-04,supported,good,good,model_context,Endothelin-1 is described as aggravating hyperplasia
tmkp-2026-04-21-edge-audit-batch-002-2806,codex-manual,2026-05-04,supported,good,partial,object_normalization_broad,Elevated fibrinogen is associated with ischemic heart disease
tmkp-2026-04-21-edge-audit-batch-002-2807,codex-manual,2026-05-04,unsupported,partial,bad,object_normalization_error,IL-10 was for inflammation in Borrelia infection not Lyme disease treatment
tmkp-2026-04-21-edge-audit-batch-002-2808,codex-manual,2026-05-04,unsupported,bad,bad,object_normalization_error|protein_as_disease,Retinoblastoma refers to pRb protein interaction not the disease
tmkp-2026-04-21-edge-audit-batch-002-2809,codex-manual,2026-05-04,supported,good,good,,Durvalumab studies include mantle cell lymphoma
tmkp-2026-04-21-edge-audit-batch-002-2810,codex-manual,2026-05-04,unsupported,bad,good,context_error,Cataracts are listed as complications not basiliximab targets
tmkp-2026-04-21-edge-audit-batch-002-2811,codex-manual,2026-05-04,supported,good,good,,HSP70 is implicated in melanoma development
tmkp-2026-04-21-edge-audit-batch-002-2812,codex-manual,2026-05-04,partially_supported,good,partial,generic_object,Trastuzumab duocarmazine was studied in advanced solid tumours
tmkp-2026-04-21-edge-audit-batch-002-2813,codex-manual,2026-05-04,supported,good,partial,object_normalization_partial,G-CSF use is reported as complicated by leukocytoclastic vasculitis
