audit_id,manual_reviewer,manual_reviewed_at,manual_edge_support,manual_predicate_fit,manual_normalization_fit,manual_error_tags,manual_notes
tmkp-2026-04-21-edge-audit-batch-001-2151,codex-manual,2026-05-04,unsupported,bad,bad,normalization_error|inverse_relation,CREB activation is required for leptin-induced synaptogenesis and subject is ATF4
tmkp-2026-04-21-edge-audit-batch-001-2152,codex-manual,2026-05-04,partially_supported,partial,good,rescue_context,KIF3C overexpression rescues KIF3B mutant defects
tmkp-2026-04-21-edge-audit-batch-001-2153,codex-manual,2026-05-04,partially_supported,partial,good,genetic_model_context,NIK deficiency affects Foxp3 memory CD4 cell phenotype
tmkp-2026-04-21-edge-audit-batch-001-2154,codex-manual,2026-05-04,unsupported,bad,good,parallel_knockdown_context,FMNL1 and mDia1 knockdown had similar phenotype but no causal relation
tmkp-2026-04-21-edge-audit-batch-001-2155,codex-manual,2026-05-04,unsupported,bad,bad,abbreviation_list_only,no relation is stated between TBK1 and ubiquitin in abbreviation list
tmkp-2026-04-21-edge-audit-batch-001-2156,codex-manual,2026-05-04,supported,good,good,mechanism_context,HBZ protein inhibits IRF3-mediated responses
tmkp-2026-04-21-edge-audit-batch-001-2157,codex-manual,2026-05-04,supported,good,good,mechanism_context,Pax1 has an activating effect on Sox5
tmkp-2026-04-21-edge-audit-batch-001-2158,codex-manual,2026-05-04,partially_supported,partial,good,pathway_context,RIF1 is a downstream factor of 53BP1-mediated repair
tmkp-2026-04-21-edge-audit-batch-001-2159,codex-manual,2026-05-04,supported,good,good,mechanism_context,CTIP2 inhibits p53-dependent promoter activation
tmkp-2026-04-21-edge-audit-batch-001-2160,codex-manual,2026-05-04,unsupported,bad,bad,model_ortholog_context|wrong_object,hda-1 knockdown in skn-1 mutants affected end-1 not POU2F3
tmkp-2026-04-21-edge-audit-batch-001-2161,codex-manual,2026-05-04,unsupported,bad,bad,family_mention_fanout|normalization_error,p38 and glucagon-like peptide context does not support GRAP2 to GCG
tmkp-2026-04-21-edge-audit-batch-001-2162,codex-manual,2026-05-04,unsupported,bad,bad,list_or_cross_product|normalization_error,MCP-1 and AP-1 were co-mentioned in a downregulated mediator list
tmkp-2026-04-21-edge-audit-batch-001-2163,codex-manual,2026-05-04,unsupported,bad,bad,assay_construct_context|normalization_error,GAL4 is yeast assay construct not LGALS4
tmkp-2026-04-21-edge-audit-batch-001-2164,codex-manual,2026-05-04,unsupported,bad,bad,normalization_error|wrong_object,TREM2 decreased Apoe in APP mice but object is PARP2
tmkp-2026-04-21-edge-audit-batch-001-2165,codex-manual,2026-05-04,unsupported,bad,bad,normalization_error|wrong_object,calcineurin induced Drp1 recruitment but object is DENR
tmkp-2026-04-21-edge-audit-batch-001-2166,codex-manual,2026-05-04,unsupported,bad,bad,family_mention_fanout|normalization_error,PPARgamma and GAS5 are separate examples and not PPARD to GAST
tmkp-2026-04-21-edge-audit-batch-001-2167,codex-manual,2026-05-04,partially_supported,partial,good,pathway_context,p53 target Notch1 has role through negative regulation of Rho effectors
tmkp-2026-04-21-edge-audit-batch-001-2168,codex-manual,2026-05-04,supported,good,good,mechanism_context,STAT3 interacts with TFAM and represses respiratory chain genes
