rule_tag,manual_rows,tagged_rows,coverage_pct,failure_precision_pct,weak_or_bad_precision_pct,failure_recall_pct,weak_or_bad_recall_pct,untagged_failure_rate_pct,manual_failures_in_tagged_rows,manual_weak_or_bad_in_tagged_rows
common_word_mention,3000,18,0.6,100.0,100.0,1.5,1.0,38.9,18,18
short_mention_risk,3000,979,32.6,66.5,83.7,55.3,45.5,26.1,651,819
negation_or_hedging,3000,82,2.7,65.9,80.5,4.6,3.7,38.5,54,66
method_or_reagent_context,3000,85,2.8,56.5,77.6,4.1,3.7,38.8,48,66
family_mention_fanout,3000,168,5.6,54.8,92.9,7.8,8.7,38.3,92,156
mention_mismatch,3000,1664,55.5,51.6,71.9,72.9,66.5,23.9,859,1197
cohort_or_exposure_context,3000,255,8.5,50.2,65.5,10.9,9.3,38.3,128,167
mechanism_context,3000,972,32.4,39.9,64.0,32.9,34.5,39.0,388,622
list_or_cross_product_context,3000,241,8.0,39.8,57.7,8.1,7.7,39.2,96,139
biomarker_or_expression_context,3000,722,24.1,39.3,63.6,24.1,25.5,39.2,284,459
adverse_or_risk_context,3000,823,27.4,37.2,58.6,26.0,26.8,40.1,306,482
model_or_assay_context,3000,1039,34.6,36.9,60.0,32.5,34.6,40.5,383,623
treatment_context,3000,878,29.3,34.5,54.9,25.7,26.8,41.2,303,482
generic_object,3000,78,2.6,26.9,50.0,1.8,2.2,39.6,21,39
