audit_id,audit_batch_id,release_version,audited_at,reviewer,audit_method,audit_decision,audit_confidence,audit_tags,audit_note,stratum,edge_id,subject_id,subject_name,subject_category,predicate,qualified_predicate,object_id,object_name,object_category,evidence_count,edge_confidence_score,source_xref,supporting_document_year,supporting_text_section_type,study_result_id,extraction_confidence_score,subject_mention,object_mention,subject_mention_match,object_mention_match,supporting_text,manual_review_status,manual_reviewer,manual_reviewed_at,manual_edge_support,manual_predicate_fit,manual_normalization_fit,manual_error_tags,manual_notes
tmkp-2026-04-21-edge-audit-batch-002-0001,tmkp-2026-04-21-edge-audit-batch-002,2026_04_21,2026-05-04,codex,assistant_structured_evidence_review_v1,needs_review,medium,mention_mismatch|treatment_context,mention text has weak lexical agreement with normalized label,chemical_disease_contributes,urn:uuid:e4e5fd60-2cdc-4192-b646-e827dfccf24d,CHEBI:63925,PhXa 85,biolink:SmallMolecule,biolink:contributes_to,,MONDO:0007915,EXCESS LMW-DNA,biolink:Disease,1,0.761549,PMC4124690,2014,DISCUSS,tmkp:e2650c339a167baab1269d6f06ae0c4a5348febcc39d9cf04d62c09a86c516bb,0.761549,latanoprost,systemic lupus erythematosus,false,false,"Besides these syndromes some acquired causes are HIV Type I, in association with uveitis, dermatomyositis and systemic lupus erythematosus or secondary to drugs therapy (zidovudine, latanoprost, bimatoprost, interferon-?, cyclosporine and topiramate).",complete,codex-manual,2026-05-04,unsupported,bad,bad,normalization_error|list_or_cross_product,Latanoprost and systemic lupus are list context and normalized nodes are wrong.
tmkp-2026-04-21-edge-audit-batch-002-0002,tmkp-2026-04-21-edge-audit-batch-002,2026_04_21,2026-05-04,codex,assistant_structured_evidence_review_v1,needs_review,medium,mention_mismatch|model_or_assay_context,mention text has weak lexical agreement with normalized label,chemical_disease_contributes,urn:uuid:cb3d1cbc-ca8b-47f2-90e5-c5425fa6623f,UNII:NQX9KB6PCL,Somatotropin,biolink:SmallMolecule,biolink:contributes_to,,MONDO:0000490,glomerulosclerosis,biolink:Disease,58,0.532781,PMC2118858,1991,ABSTRACT,tmkp:adfbdfda81f1382684d83bad593070ad598224edf0a84a8f69acba1e6bd1d566,0.532781,growth hormone,glomerulosclerosis,false,true,Mice transgenic for growth hormone (GH) develop progressive glomerulosclerosis.,complete,codex-manual,2026-05-04,supported,good,good,model_or_assay_context,Growth hormone transgenic mice develop glomerulosclerosis.
tmkp-2026-04-21-edge-audit-batch-002-0003,tmkp-2026-04-21-edge-audit-batch-002,2026_04_21,2026-05-04,codex,assistant_structured_evidence_review_v1,needs_review,low,,evidence has co-mentions but no high-confidence audit rule fired,chemical_disease_contributes,urn:uuid:41d98f68-4c9a-4254-a08c-4b794e167da0,CHEBI:61049,Tacrolimus,biolink:SmallMolecule,biolink:contributes_to,,MONDO:0024327,Chronic uremia,biolink:Disease,5,0.714007,PMID:16911496,2006,abstract,tmkp:79996ceb75de674ea2ded3f2410d7510c862267de9921268a9d696583cbab78d,0.718419,tacrolimus,chronic renal failure,true,true,"Both CsA and tacrolimus cause a 30% reduction in renal function, with 4-5% of patients developing severe chronic renal failure.",complete,codex-manual,2026-05-04,supported,good,good,,Tacrolimus is reported to cause severe chronic renal failure.
tmkp-2026-04-21-edge-audit-batch-002-0004,tmkp-2026-04-21-edge-audit-batch-002,2026_04_21,2026-05-04,codex,assistant_structured_evidence_review_v1,partially_supported,medium,adverse_or_risk_context,risk/adverse language matches broad contributes_to semantics,chemical_disease_contributes,urn:uuid:5d85c917-aaba-4787-bdcd-29d2802523d2,DRUGBANK:DB11312,Protein C,biolink:ChemicalEntity,biolink:contributes_to,,MONDO:0000831,thrombosis,biolink:Disease,44,0.629364,PMC2824841,2010,INTRO,tmkp:500dee7e4d53ddd8be7978c74ce555db39cf3e90cdf633e96bbfb5293adb9f4a,0.629364,protein C,thrombosis,true,true,"Congenital, heterozygous deficiency in either antithrombin or protein C increase the risk of thrombosis about five- to tenfold.",complete,codex-manual,2026-05-04,partially_supported,partial,good,inverse_deficiency_context,Protein C deficiency increases thrombosis risk rather than protein C itself.
tmkp-2026-04-21-edge-audit-batch-002-0005,tmkp-2026-04-21-edge-audit-batch-002,2026_04_21,2026-05-04,codex,assistant_structured_evidence_review_v1,needs_review,low,treatment_context,evidence has co-mentions but no high-confidence audit rule fired,chemical_disease_contributes,urn:uuid:28cd1f15-cfe2-4a9f-aac7-0552acc0d54a,CHEBI:48669,Tranexamic acid,biolink:SmallMolecule,biolink:contributes_to,,MONDO:0000313,hypophosphatemia,biolink:Disease,1,0.883377,PMC7869646,2020,DISCUSS,tmkp:6eacdedd3b21570f3ffb4b03ffd3a3abeb4d8aedda3a293ba1a5fe030817343e,0.883377,Tranexamic acid,hypophosphatemia,true,true,"Many toxins and drugs are implicated in causing cortical necrosis like hypophosphatemia and myoglobinuria in rhabdomyolysis (severe physical exertion), Tranexamic acid, ethanol and contrast dye.",complete,codex-manual,2026-05-04,unsupported,bad,good,list_or_cross_product|predicate_overbroad,Tranexamic acid and hypophosphatemia are listed as causes of cortical necrosis.
tmkp-2026-04-21-edge-audit-batch-002-0006,tmkp-2026-04-21-edge-audit-batch-002,2026_04_21,2026-05-04,codex,assistant_structured_evidence_review_v1,needs_review,medium,biomarker_or_expression_context|list_or_cross_product_context|mention_mismatch|short_mention_risk,short mention has low lexical agreement with normalized node; mention text has weak lexical agreement with normalized label; evidence looks like a list context that may cross-product entities,chemical_disease_contributes,urn:uuid:cebd1c02-59d1-4a1a-94ac-9c74dd3904f5,CHEBI:91327,Tivozanib,biolink:SmallMolecule,biolink:contributes_to,,MONDO:0006097,Atypical Lipoma,biolink:Disease,1,0.980851,PMC4041401,2013,INTRO,tmkp:17cd595589842870acfd92834e2b8618c3f16c7cba18d4e90dfe96bcfa01df4a,0.980851,tivozanib,ALT,true,false,"In addition, pazopanib, sunitinib and tivozanib in particular were shown to cause increased levels of bilirubin, alanine aminotransferase (ALT) and aspartate aminotransferase (AST) in up to 36%, 60% and 61% of the patients, respectively.",complete,codex-manual,2026-05-04,unsupported,bad,bad,normalization_error,ALT is alanine aminotransferase not atypical lipoma.
tmkp-2026-04-21-edge-audit-batch-002-0007,tmkp-2026-04-21-edge-audit-batch-002,2026_04_21,2026-05-04,codex,assistant_structured_evidence_review_v1,needs_review,medium,adverse_or_risk_context|biomarker_or_expression_context|mention_mismatch|model_or_assay_context|negation_or_hedging|treatment_context,mention text has weak lexical agreement with normalized label; evidence contains negation or hedging language,chemical_disease_contributes,urn:uuid:0cfbc919-8e8e-4e7c-b80a-925382e51917,CHEBI:48814,Chloral,biolink:SmallMolecule,biolink:contributes_to,,MONDO:0005556,lupus nephritis,biolink:Disease,1,0.837237,PMC2430222,2008,INTRO,tmkp:84dc15327b5d7a770d70e58fcc0734d8ad15369a10f5463b7750870473c387c0,0.837237,trichloroacetaldehyde hydrate,lupus nephritis,false,true,Female MRL+/+ mice treated for 40 weeks with drinking water containing concentrations of trichloroacetaldehyde hydrate that encompassed the molar equivalents of previous low-level trichloroethylene exposure did not develop autoimmune hepatitis or lupus nephritis but did develop a dose-dependent alopecia and skin inflammation.,complete,codex-manual,2026-05-04,unsupported,bad,good,negation_or_hedging,Chloral hydrate treated mice did not develop lupus nephritis.
tmkp-2026-04-21-edge-audit-batch-002-0008,tmkp-2026-04-21-edge-audit-batch-002,2026_04_21,2026-05-04,codex,assistant_structured_evidence_review_v1,partially_supported,medium,adverse_or_risk_context,risk/adverse language matches broad contributes_to semantics,chemical_disease_contributes,urn:uuid:ea76949e-db9e-4b8c-9b35-2b60c123bcd9,CHEBI:8776,ranitidine,biolink:SmallMolecule,biolink:contributes_to,,MONDO:0005480,contact dermatitis,biolink:Disease,3,0.799171,PMID:2137389,1990,abstract,tmkp:aa711dd598f75033a210089fc63435162bffff6592bc01ecae02890ca3807cc9,0.799314,ranitidine,contact dermatitis,true,true,"Clenbuterol, a beta antagonist, and ranitidine, a histamine-receptor antagonist, were associated with contact dermatitis in a chemist.",complete,codex-manual,2026-05-04,supported,good,good,,Ranitidine was associated with contact dermatitis.
tmkp-2026-04-21-edge-audit-batch-002-0009,tmkp-2026-04-21-edge-audit-batch-002,2026_04_21,2026-05-04,codex,assistant_structured_evidence_review_v1,partially_supported,low,model_or_assay_context,evidence appears model or assay based,chemical_disease_contributes,urn:uuid:fe2b5cbb-10c6-4304-b08c-ee89fa410b43,CHEBI:15377,Water,biolink:SmallMolecule,biolink:contributes_to,,MONDO:0005298,osteoporosis,biolink:Disease,2,0.453181,PMID:18377679,2008,abstract,tmkp:a97c715575f35271e4b8ed8380fa5ff1b0ca5ecb690cdc6002368a87115ab7a3,0.453181,water,osteoporosis,true,true,Mice that were given a low-calcium diet supplemented with commercial spring water developed osteoporosis-like symptoms.,complete,codex-manual,2026-05-04,partially_supported,partial,good,model_or_assay_context|diet_context,Low calcium diet with spring water produced osteoporosis like symptoms in mice.
tmkp-2026-04-21-edge-audit-batch-002-0010,tmkp-2026-04-21-edge-audit-batch-002,2026_04_21,2026-05-04,codex,assistant_structured_evidence_review_v1,partially_supported,medium,adverse_or_risk_context,risk/adverse language matches broad contributes_to semantics,chemical_disease_contributes,urn:uuid:fd0f8e8b-5617-403d-8abd-c2d9a2a46bd6,CHEBI:15430,Protoporphyrin,biolink:ChemicalEntity,biolink:contributes_to,,MONDO:0005155,liver cirrhosis,biolink:Disease,2,0.684625,PMID:17763398,2007,abstract,tmkp:753eff653cc65ed3594158e78a32f259bc382954a4544b53c11162b253a0dd14,0.685121,Protoporphyrin,cirrhosis,true,true,Protoporphyrin is hepatotoxic and pigment loading of hepatocytes and bile canalicular sludging may result in progressive cholestasis and cirrhosis.,complete,codex-manual,2026-05-04,supported,good,good,,Protoporphyrin hepatotoxicity may result in cirrhosis.
tmkp-2026-04-21-edge-audit-batch-002-0011,tmkp-2026-04-21-edge-audit-batch-002,2026_04_21,2026-05-04,codex,assistant_structured_evidence_review_v1,partially_supported,medium,adverse_or_risk_context|model_or_assay_context,risk/adverse language matches broad contributes_to semantics,chemical_disease_contributes,urn:uuid:d2c519e9-8ff8-40cf-ae24-26fbbf14d62f,CHEBI:3732,Clarithromycin,biolink:SmallMolecule,biolink:contributes_to,,MONDO:0000831,thrombosis,biolink:Disease,3,0.608589,PMID:21455431,2011,abstract,tmkp:f323a7af19c9150be24e0f021328507cf35afe44b85c9299ef863fa82e8ec0af,0.626649,clarithromycin,thrombosis,true,true,"Herein, we present a case with vesiculobullous skin reaction and vein thrombosis caused by administration of intravenous clarithromycin.",complete,codex-manual,2026-05-04,supported,good,good,,Intravenous clarithromycin caused vein thrombosis.
tmkp-2026-04-21-edge-audit-batch-002-0012,tmkp-2026-04-21-edge-audit-batch-002,2026_04_21,2026-05-04,codex,assistant_structured_evidence_review_v1,needs_review,medium,mention_mismatch|short_mention_risk|treatment_context,short mention has low lexical agreement with normalized node; mention text has weak lexical agreement with normalized label,chemical_disease_contributes,urn:uuid:c4a18939-e90b-4e67-97df-73e5cd2c9300,CHEBI:138000,nicotine,biolink:SmallMolecule,biolink:contributes_to,,MONDO:0010311,Becker muscular dystrophy,biolink:Disease,8,0.657376,PMID:19953955,2009,abstract,tmkp:347987735e53b8c6bf3e9c43c2ca58611c8de1b2b91d81fa6f811e39a967b6e5,0.678448,nicotine,BMD,true,false,"With the nicotine dose increased, bone mineral density (BMD), bone volume fraction (BVF), and trabecular thickness (TT) gradually reduced, while the trabecular spacing (TS) and alveolar bone loss (ABL) increased.",complete,codex-manual,2026-05-04,unsupported,bad,bad,normalization_error,BMD means bone mineral density not Becker muscular dystrophy.
tmkp-2026-04-21-edge-audit-batch-002-0013,tmkp-2026-04-21-edge-audit-batch-002,2026_04_21,2026-05-04,codex,assistant_structured_evidence_review_v1,needs_review,medium,biomarker_or_expression_context|mention_mismatch|model_or_assay_context|short_mention_risk|treatment_context,short mention has low lexical agreement with normalized node; mention text has weak lexical agreement with normalized label,chemical_disease_contributes,urn:uuid:6db3c05a-43ca-4cb6-9ebb-317111619605,CHEBI:6804,Methacholine,biolink:SmallMolecule,biolink:contributes_to,,MONDO:0008948,cerebrotendinous xanthomatosis,biolink:Disease,1,0.79548,PMID:25274192,2014,abstract,tmkp:e7148ca4b129b4badff0e45b0991beda3c463d84b58a73531518794e864aba4b,0.79548,MCH,CTX,false,false,The citrate-carbonate and MCH doses produced comparable decreases in bone resorption (measured as serum C-telopeptide (CTX)) over 8?h and bone turnover (CTX and procollagen type-I N-terminal propeptide) at 3 months.,complete,codex-manual,2026-05-04,unsupported,bad,bad,normalization_error,CTX is serum C-telopeptide not cerebrotendinous xanthomatosis.
tmkp-2026-04-21-edge-audit-batch-002-0014,tmkp-2026-04-21-edge-audit-batch-002,2026_04_21,2026-05-04,codex,assistant_structured_evidence_review_v1,needs_review,medium,biomarker_or_expression_context|mention_mismatch,mention text has weak lexical agreement with normalized label,chemical_disease_contributes,urn:uuid:190cfaf2-1e1d-436f-bf29-abd1f1f31e24,CHEBI:15940,Niacin,biolink:SmallMolecule,biolink:contributes_to,,MONDO:0006874,obstructive jaundice,biolink:Disease,1,0.884455,PMID:8124850,1994,abstract,tmkp:5bb7c01a894e5e3d3e6a77499c122bbee0db3a879098705c802d485fd3e91b3d,0.884455,Nicotinic acid,cholestatic jaundice,false,true,"Nicotinic acid, widely used to lower serum cholesterol levels, may rarely cause cholestatic jaundice.",complete,codex-manual,2026-05-04,partially_supported,partial,partial,related_disease_context,Nicotinic acid may cause cholestatic jaundice rather than specifically obstructive jaundice.
tmkp-2026-04-21-edge-audit-batch-002-0015,tmkp-2026-04-21-edge-audit-batch-002,2026_04_21,2026-05-04,codex,assistant_structured_evidence_review_v1,needs_review,low,treatment_context,evidence has co-mentions but no high-confidence audit rule fired,chemical_disease_contributes,urn:uuid:d9c1e0e3-6d71-47cc-989b-e3eeff0f120e,CHEBI:22586,antioxidant,biolink:ChemicalEntity,biolink:contributes_to,,MONDO:0022578,childhood bladder carcinoma,biolink:Disease,3,0.569189,PMC5696485,2017,INTRO,tmkp:b7ccef6c119d71651e9878c3850e2a31edc107d2996c289f706d5207e374a0df,0.569189,antioxidant,bladder cancer,true,true,"Due to the metabolic conversion of P2NA?to 2NA, the high carcinogenic potency of 2NA, the long latency period of urothelial cancer, and the assumed on-going use of P2NA as an antioxidant in natural and synthetic rubber industry outside western industrial nations, P2NA-associated bladder cancer at the workplace is still of relevance to the present day (Weiss et al.).",complete,codex-manual,2026-05-04,unsupported,partial,bad,normalization_error|generic_subject,P2NA is an antioxidant linked to bladder cancer but subject and object are overnormalized.
tmkp-2026-04-21-edge-audit-batch-002-0016,tmkp-2026-04-21-edge-audit-batch-002,2026_04_21,2026-05-04,codex,assistant_structured_evidence_review_v1,needs_review,medium,adverse_or_risk_context|mention_mismatch|short_mention_risk,short mention has low lexical agreement with normalized node; mention text has weak lexical agreement with normalized label,chemical_disease_contributes,urn:uuid:c8d23476-cdee-423a-bc3a-8f2b6fb1af45,CHEBI:135127,Pilsicainide,biolink:SmallMolecule,biolink:contributes_to,,MONDO:0003396,epulis,biolink:Disease,1,0.964298,PMC4759121,2015,CASE,tmkp:c9cd8217bacf2f7f8ca7621cbd024dbd7989e431eb3b92827232fdc3e07193ba,0.964298,pilsicainide,EPS,true,false,"In an electrophysiological study (EPS) conducted prior to pilsicainide infusion, neither ventricular tachycardia (VT) nor ventricular fibrillation (VF) was induced by a single or double stimulus to the right ventricular apex or right ventricular outflow tract.",complete,codex-manual,2026-05-04,unsupported,bad,bad,abbreviation_collision,EPS means electrophysiological study not epulis.
tmkp-2026-04-21-edge-audit-batch-002-0017,tmkp-2026-04-21-edge-audit-batch-002,2026_04_21,2026-05-04,codex,assistant_structured_evidence_review_v1,partially_supported,medium,adverse_or_risk_context|list_or_cross_product_context,evidence looks like a list context that may cross-product entities; risk/adverse language matches broad contributes_to semantics,chemical_disease_contributes,urn:uuid:a81f0f8d-9312-4242-b24a-08b7147a608f,CHEBI:35703,xenobiotic,biolink:ChemicalEntity,biolink:contributes_to,,MONDO:0005575,colorectal cancer,biolink:Disease,1,0.619208,PMID:11245417,2001,abstract,tmkp:14c418a14a149f2a66bc18cb7fcb9641b9f0adcce39d5ac044f3c28f4ebd1838,0.619208,xenobiotics,colorectal cancer,true,true,"Mutations in N-acetyltransferase 2 (NAT2), a highly polymorphic enzyme involved in the metabolism of xenobiotics and carcinogens, may affect risk for colorectal cancer (CRC), especially among individuals with germ-line mutations in DNA mismatch repair genes.",complete,codex-manual,2026-05-04,partially_supported,partial,good,generic_subject|risk_factor_context,Xenobiotic metabolism may affect colorectal cancer risk.
tmkp-2026-04-21-edge-audit-batch-002-0018,tmkp-2026-04-21-edge-audit-batch-002,2026_04_21,2026-05-04,codex,assistant_structured_evidence_review_v1,partially_supported,low,model_or_assay_context,evidence appears model or assay based,chemical_disease_contributes,urn:uuid:29288286-d4b3-42ae-a1fd-6eca5106701e,CHEBI:231594,Norgestrel,biolink:SmallMolecule,biolink:contributes_to,,MONDO:0005298,osteoporosis,biolink:Disease,1,0.779691,PMID:21686786,2009,title,tmkp:d4fa783b3d2def6ef25b4ba77e9ce2804b695a993c569a405171a9a312ffaaac,0.779691,levonorgestrel,Osteoporosis,true,true,Osteoporosis in a young woman after 6 years of levonorgestrel administration from intrauterine devices?,complete,codex-manual,2026-05-04,supported,good,partial,related_chemical_context,Levonorgestrel administration is linked to osteoporosis.
tmkp-2026-04-21-edge-audit-batch-002-0019,tmkp-2026-04-21-edge-audit-batch-002,2026_04_21,2026-05-04,codex,assistant_structured_evidence_review_v1,partially_supported,medium,adverse_or_risk_context|model_or_assay_context|treatment_context,risk/adverse language matches broad contributes_to semantics,chemical_disease_contributes,urn:uuid:987779f7-567b-4220-9cce-b13119f6fa2d,CHEBI:30089,Acetate,biolink:SmallMolecule,biolink:contributes_to,,MONDO:0003785,leukopenia,biolink:Disease,2,0.587598,PMID:546425,1979,abstract,tmkp:d2c647ee8c16fac7b7dfd488519e2cd5c4abd916a1b1868ad5895f51ba44390d,0.587975,acetate,leukopenia,true,true,"4-(p-Chlorophenylthio)butanol (W-2719) and its major acid metabolites W-2718 (butyrate) and W-2683 (acetate), when administered as drug-diet admixtures to male and female Sprague-Dawley rats for five weeks (approximately 200.0 mg/kg/day), induced a marked leukopenia.",complete,codex-manual,2026-05-04,partially_supported,partial,partial,related_chemical_context|model_or_assay_context,An acetate metabolite induced leukopenia in rats.
tmkp-2026-04-21-edge-audit-batch-002-0020,tmkp-2026-04-21-edge-audit-batch-002,2026_04_21,2026-05-04,codex,assistant_structured_evidence_review_v1,partially_supported,medium,adverse_or_risk_context,risk/adverse language matches broad contributes_to semantics,chemical_disease_contributes,urn:uuid:22c50935-bb8e-4d10-802f-4be638388c65,CHEBI:44423,Hydroxyurea,biolink:SmallMolecule,biolink:contributes_to,,MONDO:0015925,interstitial lung disease,biolink:Disease,1,0.676649,PMID:8023217,1994,title,tmkp:071c61750156c9ba9ad949d68d6df73ecd533894322be8af0a10576178805eb9,0.676649,Hydroxyurea,interstitial lung disease,true,true,Hydroxyurea-induced acute interstitial lung disease.,complete,codex-manual,2026-05-04,supported,good,good,,Hydroxyurea induced acute interstitial lung disease.
tmkp-2026-04-21-edge-audit-batch-002-0021,tmkp-2026-04-21-edge-audit-batch-002,2026_04_21,2026-05-04,codex,assistant_structured_evidence_review_v1,needs_review,medium,mechanism_context|mention_mismatch|short_mention_risk,short mention has low lexical agreement with normalized node; mention text has weak lexical agreement with normalized label,chemical_disease_contributes,urn:uuid:44271d01-5db5-48b2-966b-4f1795b3c5d0,CHEBI:8382,Prednisone,biolink:SmallMolecule,biolink:contributes_to,,MONDO:0019796,acrocephalosyndactyly,biolink:Disease,1,0.662698,PMC4573596,2015,INTRO,tmkp:e0ad43fe2eb0a2e5989bab4561d82487b9622e0f42b890982cc60215d31a23d5,0.662698,prednisone,ACE,true,false,"Data from animal studies have suggested that the use of prednisone, alone or in combination with ACE inhibitors, may be deleterious to myocardial function, but human DMD data have suggested that steroid use has a protective effect on the heart.",complete,codex-manual,2026-05-04,unsupported,bad,bad,abbreviation_collision,ACE means ACE inhibitors not acrocephalosyndactyly.
tmkp-2026-04-21-edge-audit-batch-002-0022,tmkp-2026-04-21-edge-audit-batch-002,2026_04_21,2026-05-04,codex,assistant_structured_evidence_review_v1,partially_supported,medium,adverse_or_risk_context|model_or_assay_context|treatment_context,risk/adverse language matches broad contributes_to semantics,chemical_disease_contributes,urn:uuid:204fac6a-1751-412f-bafc-4e2c9e21ce2d,CHEBI:8805,Repaglinide,biolink:SmallMolecule,biolink:contributes_to,,MONDO:0001673,diarrhea,biolink:Disease,3,0.749483,PMID:20387361,2009,abstract,tmkp:c7fd009cd1183fcbfa57199329bf894d818772e6f917420b9508867306c9e3f5,0.753299,Repaglinide,diarrhea,true,true,"Repaglinide is considered a safe drug; adverse events are mild to moderate which includes hypoglycemia, headache, nausea, vomiting, diarrhea and dyspepsia as similar to sulphonylureas.",complete,codex-manual,2026-05-04,supported,good,good,,Repaglinide adverse events include diarrhea.
tmkp-2026-04-21-edge-audit-batch-002-0023,tmkp-2026-04-21-edge-audit-batch-002,2026_04_21,2026-05-04,codex,assistant_structured_evidence_review_v1,partially_supported,medium,adverse_or_risk_context,risk/adverse language matches broad contributes_to semantics,chemical_disease_contributes,urn:uuid:b543b5a9-6726-433b-b1c0-cc4888acdb79,CHEBI:41774,Tamoxifen,biolink:SmallMolecule,biolink:contributes_to,,MONDO:0043959,pseudolymphoma,biolink:Disease,3,0.875187,PMID:18503528,2008,title,tmkp:8fd2e47cba2c869ec80eb069b8f3b89a78038be9f4e86d7d0397115be9cb26c2,0.875338,tamoxifen,Pseudolymphoma,true,true,Pseudolymphoma as adverse reaction to tamoxifen.,complete,codex-manual,2026-05-04,supported,good,good,,Pseudolymphoma is reported as an adverse reaction to tamoxifen.
tmkp-2026-04-21-edge-audit-batch-002-0024,tmkp-2026-04-21-edge-audit-batch-002,2026_04_21,2026-05-04,codex,assistant_structured_evidence_review_v1,needs_review,low,,evidence has co-mentions but no high-confidence audit rule fired,chemical_disease_contributes,urn:uuid:af5352be-d653-4557-88e4-f7fe007c3edb,CHEBI:182409,Fluocortin,biolink:SmallMolecule,biolink:contributes_to,,MONDO:0006525,allergic contact dermatitis,biolink:Disease,2,1.027115,PMID:7842695,1994,title,tmkp:6d4cc52d2689c82ae983ad973d2c46ab8f73943c033d93001728508639431239,1.027115,fluocortin,Allergic contact dermatitis,true,true,Allergic contact dermatitis from fluocortin butylester.,complete,codex-manual,2026-05-04,supported,good,good,,Fluocortin butylester caused allergic contact dermatitis.
